site1,site2,comm_sim,site_dis,group
T35,T13,0.170478536,845883.869,T
T35,T15,0.083176949,923046.967,T
T35,T18,0.089295488,1522678.646,T
T35,T19,0.122155759,1684800.255,T
T35,T20,0.288294628,1844415.867,T
T35,T21,0.130522324,1869087.889,T
T35,T22,0.162385644,689196.9658,T
T35,T23,0.208128079,848367.4291,T
T35,T24,0.170380796,998278.2775,T
T35,T25,0.08607006,1116482.581,T
T35,T26,0.132379389,1105734.447,T
T35,T27,0.103917429,1211842.066,T
T35,T28,0.216651028,641123.5034,T
T35,T29,0.187309407,786308.1398,T
T35,T30,0.184025334,969987.5231,T
T35,T31,0.493255923,216872.6414,T
T35,T32,0.577820783,134470.5474,T
T35,T33,0.564704043,117023.4773,T
T35,T34,0.595238095,71384.24624,T
T36,T01,0.155837047,323488.3707,T
T36,T02,0.308292282,369091.8784,T
T36,T04,0.136367191,372009.1667,T
T36,T05,0.13537024,376804.8342,T
T36,T06,0.235553992,252569.0574,T
T36,T07,0.216142779,366920.1462,T
T36,T08,0.345824537,307793.0103,T
T36,T09,0.254574243,383982.7882,T
T36,T10,0.249452655,552419.4065,T
T36,T11,0.240773321,483344.3671,T
T36,T12,0.190241614,680850.4076,T
T36,T13,0.192411447,803917.2261,T
T36,T15,0.085503167,872130.3619,T
T36,T18,0.087966221,1470479.894,T
T36,T19,0.133591368,1632111.397,T
T36,T20,0.303854875,1791863.501,T
T36,T21,0.143775901,1816362.063,T
T36,T22,0.155289702,735720.9888,T
T36,T23,0.199155524,893971.9759,T
T36,T24,0.159551177,1044949.638,T
T36,T25,0.084154351,1161579.117,T
T36,T26,0.137911486,1146023.38,T
T36,T27,0.107162405,1248497.35,T
T36,T28,0.198979592,668994.6284,T
T36,T29,0.169168817,817017.1779,T
T36,T30,0.200035186,1012846.975,T
T36,T31,0.487782469,263288.706,T
T36,T32,0.444268512,170235.9333,T
T36,T33,0.450074283,166867.1125,T
T36,T34,0.4904801,123805.005,T
T36,T35,0.555868324,52725.96946,T
T37,T01,0.273183986,248081.766,T
T37,T02,0.451481742,268949.8866,T
T37,T04,0.23185941,258300.6569,T
T37,T05,0.224196575,261178.5859,T
T37,T06,0.386132614,138958.1474,T
T37,T07,0.378098366,266794.5894,T
T37,T08,0.314019861,224092.2927,T
T37,T09,0.445324107,337470.0724,T
T37,T10,0.411799202,489448.3572,T
T37,T11,0.388028775,400680.1003,T
T37,T12,0.327234342,580689.1999,T
T37,T13,0.335307686,717313.9582,T
T37,T15,0.107885683,761489.5913,T
T37,T18,0.108139808,1356197.355,T
